Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
136472_lon,10,Opposition,2234,2168.38,103.03,275.13,90.62000274658205,0.1511549231838708,Enhancement,Flare_All,0.32958321593836853,False
136199_lon,1,Conjunction,229,226.9,100.93,314.98,103.75,0.9064165987074898,Enhancement,Flare_All,0.984892236682513,False
136199_lon,1,Opposition,224,237.32,94.39,237.81,78.33000183105469,0.4057112675005159,Suppression,Flare_All,0.8316548554275667,False
136199_lon,2,Conjunction,452,453.76,99.61,284.38,93.66999816894533,0.9587580120212597,Suppression,Flare_All,1.0,False
136199_lon,2,Opposition,473,473.19,99.96,309.68,102.0,1.0,Suppression,Flare_All,1.0,False
136199_lon,3,Conjunction,665,680.69,97.69,290.96,95.83999633789062,0.5595979708429343,Suppression,Flare_All,0.8039054275510875,False
136199_lon,3,Opposition,682,708.34,96.28,284.35,93.66000366210938,0.3273208765937273,Suppression,Flare_All,0.6531310477304935,False
136199_lon,4,Conjunction,888,909.48,97.64,300.27,98.9000015258789,0.4832201885275938,Suppression,Flare_All,0.7151634248104956,False
136199_lon,4,Opposition,899,935.74,96.07,300.02,98.81999969482422,0.2295103654891491,Suppression,Flare_All,0.5085868748752436,False
136199_lon,5,Conjunction,1108,1134.13,97.7,284.22,93.62000274658205,0.4409713124179506,Suppression,Flare_All,0.6496145546672715,False
136199_lon,5,Opposition,1141,1166.7,97.8,302.72,99.70999908447266,0.4550660621600138,Suppression,Flare_All,0.7165455535221185,False
136199_lon,6,Conjunction,1343,1359.23,98.81,288.98,95.18000030517578,0.6665178551355114,Suppression,Flare_All,0.7947780772819211,False
136199_lon,6,Opposition,1377,1390.66,99.02,295.56,97.3499984741211,0.7221051944996277,Suppression,Flare_All,0.874517216366139,False
136199_lon,7,Conjunction,1578,1581.08,99.81,273.84,90.1999969482422,0.950289850894938,Suppression,Flare_All,0.9703459950187636,False
136199_lon,7,Opposition,1601,1612.91,99.26,302.65,99.69000244140624,0.77438489638001,Suppression,Flare_All,0.9157499673139436,False
136199_lon,8,Conjunction,1810,1802.62,100.41,274.13,90.29000091552734,0.8654309625574135,Enhancement,Flare_All,0.9466408708085994,False
136199_lon,8,Opposition,1828,1835.55,99.59,314.61,103.62999725341795,0.8688836113819124,Suppression,Flare_All,0.9385865843558417,False
136199_lon,9,Conjunction,2040,2025.22,100.73,282.16,92.94000244140624,0.7422435056599815,Enhancement,Flare_All,0.8438022968274317,False
136199_lon,9,Opposition,2038,2054.02,99.22,319.44,105.22000122070312,0.727151639240513,Suppression,Flare_All,0.8514324291556832,False
136199_lon,10,Conjunction,2244,2250.32,99.72,282.33,92.98999786376952,0.9019534998120332,Suppression,Flare_All,0.9493607592361158,False
136199_lon,10,Opposition,2260,2274.36,99.37,312.93,103.06999969482422,0.7668475523956301,Suppression,Flare_All,0.876878387146394,False
90482_lon,1,Conjunction,201,211.76,94.92,382.09,125.8499984741211,0.4831224409182387,Suppression,Flare_All,0.8134429238372253,False
90482_lon,1,Opposition,192,208.8,91.95,233.59,76.94000244140625,0.2565777845175404,Suppression,Flare_All,0.7251773818523027,False
90482_lon,2,Conjunction,419,422.6,99.15,359.26,118.33000183105467,0.8855319733816395,Suppression,Flare_All,0.9739764631158674,False
90482_lon,2,Opposition,379,417.47,90.78,261.24,86.05000305175781,0.0588320842492121,Suppression,Flare_All,0.3281989842759618,False
