Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Dissipation,Medium 100-500,5,Opposition,318,49,70.52,69.48,0.07779222077792221,-0.81,Suppression
Dissipation,Medium 100-500,5,Conjunction,318,60,70.5,85.11,0.6291370862913709,-0.4,Suppression
Dissipation,Large 500-2000,1,Opposition,11,0,0.49,0.0,1.0,-0.69,Suppression
Dissipation,Large 500-2000,1,Conjunction,11,0,0.49,0.0,1.0,-0.69,Suppression
Dissipation,Large 500-2000,2,Opposition,11,0,0.98,0.0,0.7677232276772322,-0.97,Suppression
Dissipation,Large 500-2000,2,Conjunction,11,0,0.98,0.0,0.7351264873512648,-1.02,Suppression
Dissipation,Large 500-2000,3,Opposition,11,0,1.46,0.0,0.46435356464353567,-1.21,Suppression
Dissipation,Large 500-2000,3,Conjunction,11,1,1.47,67.97,1.0,-0.4,Suppression
Dissipation,Large 500-2000,4,Opposition,11,0,1.95,0.0,0.31216878312168783,-1.36,Suppression
Dissipation,Large 500-2000,4,Conjunction,11,1,1.96,50.98,0.8491150884911509,-0.66,Suppression
Dissipation,Large 500-2000,5,Opposition,11,0,2.44,0.0,0.1867813218678132,-1.53,Suppression
Dissipation,Large 500-2000,5,Conjunction,11,2,2.45,81.57,1.0,-0.26,Suppression
Dissipation,Total,1,Opposition,27870,1078,1237.73,87.1,0.5037496250374962,-0.75,Suppression
Dissipation,Total,1,Conjunction,27870,1584,1239.63,127.78,0.23617638236176383,1.64,Enhancement
Dissipation,Total,2,Opposition,27870,2224,2475.46,89.84,0.9789021097890211,-0.6,Suppression
Dissipation,Total,2,Conjunction,27870,3101,2479.26,125.08,0.35936406359364065,1.46,Enhancement
Dissipation,Total,3,Opposition,27870,3317,3713.18,89.33,0.9915008499150085,-0.63,Suppression
Dissipation,Total,3,Conjunction,27870,4694,3718.89,126.22,0.31516848315168483,1.53,Enhancement
Dissipation,Total,4,Opposition,27870,4415,4950.91,89.18,0.9965003499650035,-0.64,Suppression
Dissipation,Total,4,Conjunction,27870,6242,4958.52,125.88,0.32936706329367066,1.54,Enhancement
Dissipation,Total,5,Opposition,27870,5481,6188.64,88.57,0.8915108489151085,-0.68,Suppression
Dissipation,Total,5,Conjunction,27870,7802,6198.15,125.88,0.34296570342965704,1.53,Enhancement
Onset,Small <100,1,Opposition,31241,1233,1387.49,88.87,0.7895210478952105,-0.68,Suppression
Onset,Small <100,1,Conjunction,31241,1715,1389.61,123.42,0.22357764223577642,1.4,Enhancement
Onset,Small <100,2,Opposition,31241,2526,2774.98,91.03,0.9159084091590841,-0.55,Suppression
Onset,Small <100,2,Conjunction,31241,3406,2779.22,122.55,0.24197580241975802,1.35,Enhancement
Onset,Small <100,3,Opposition,31241,3723,4162.47,89.44,0.9947005299470053,-0.64,Suppression
Onset,Small <100,3,Conjunction,31241,5119,4168.83,122.79,0.2253774622537746,1.41,Enhancement
Onset,Small <100,4,Opposition,31241,4929,5549.96,88.81,0.92010798920108,-0.68,Suppression
Onset,Small <100,4,Conjunction,31241,6754,5558.44,121.51,0.2987701229877012,1.3,Enhancement
Onset,Small <100,5,Opposition,31241,6149,6937.45,88.63,0.9165083491650835,-0.69,Suppression
Onset,Small <100,5,Conjunction,31241,8368,6948.05,120.44,0.3665633436656334,1.24,Enhancement
Onset,Medium 100-500,1,Opposition,1984,83,88.21,94.1,0.9531046895310469,-0.17,Suppression
Onset,Medium 100-500,1,Conjunction,1984,78,88.22,88.41,0.7519248075192481,-0.32,Suppression
Onset,Medium 100-500,2,Opposition,1984,154,176.41,87.3,0.6061393860613938,-0.37,Suppression
Onset,Medium 100-500,2,Conjunction,1984,157,176.45,88.98,0.7467253274672533,-0.32,Suppression
Onset,Medium 100-500,3,Opposition,1984,247,264.62,93.34,0.9689031096890312,-0.21,Suppression
Onset,Medium 100-500,3,Conjunction,1984,246,264.67,92.95,0.9581041895810419,-0.21,Suppression
Onset,Medium 100-500,4,Opposition,1984,313,352.83,88.71,0.6795320467953204,-0.35,Suppression
Onset,Medium 100-500,4,Conjunction,1984,321,352.89,90.96,0.9167083291670833,-0.27,Suppression
Onset,Medium 100-500,5,Opposition,1984,384,441.03,87.07,0.5147485251474853,-0.41,Suppression
Onset,Medium 100-500,5,Conjunction,1984,409,441.12,92.72,0.9593040695930407,-0.23,Suppression
Onset,Large 500-2000,1,Opposition,53,0,2.35,0.0,0.2221777822217778,-1.31,Suppression
Onset,Large 500-2000,1,Conjunction,53,2,2.35,85.12,1.0,-0.17,Suppression
Onset,Large 500-2000,2,Opposition,53,1,4.7,21.27,0.13458654134586542,-1.28,Suppression
Onset,Large 500-2000,2,Conjunction,53,6,4.7,127.68,0.5815418458154185,0.42,Enhancement
Onset,Large 500-2000,3,Opposition,53,3,7.05,42.53,0.2121787821217878,-1.05,Suppression
Onset,Large 500-2000,3,Conjunction,53,8,7.05,113.49,0.6947305269473053,0.24,Enhancement
Onset,Large 500-2000,4,Opposition,53,6,9.4,63.8,0.47855214478552144,-0.7,Suppression
Onset,Large 500-2000,4,Conjunction,53,10,9.4,106.4,0.7843215678432157,0.13,Enhancement
Onset,Large 500-2000,5,Opposition,53,7,11.76,59.55,0.2997700229977002,-0.86,Suppression
