Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,27,Opposition,2,53300,20.7535,256824
SG_Total,27,Conjunction,3,17460,6.7984,256824
SG_Total,27,Opposition,3,16861,6.5652,256824
SG_Total,27,Conjunction,4,3421,1.332,256824
SG_Total,27,Opposition,4,3331,1.297,256824
SG_Total,27,Conjunction,5,441,0.1717,256824
SG_Total,27,Opposition,5,355,0.1382,256824
SG_Total,27,Conjunction,6,41,0.016,256824
SG_Total,27,Opposition,6,10,0.0039,256824
SG_Total,27,Conjunction,7,0,0.0,256824
SG_Total,27,Opposition,7,0,0.0,256824
SG_Total,28,Conjunction,0,81673,31.8012,256824
SG_Total,28,Opposition,0,81204,31.6185,256824
SG_Total,28,Conjunction,1,98769,38.4579,256824
SG_Total,28,Opposition,1,97757,38.0638,256824
SG_Total,28,Conjunction,2,53111,20.6799,256824
SG_Total,28,Opposition,2,55354,21.5533,256824
SG_Total,28,Conjunction,3,18861,7.3439,256824
SG_Total,28,Opposition,3,18354,7.1465,256824
SG_Total,28,Conjunction,4,3850,1.4991,256824
SG_Total,28,Opposition,4,3736,1.4547,256824
SG_Total,28,Conjunction,5,509,0.1982,256824
SG_Total,28,Opposition,5,404,0.1573,256824
SG_Total,28,Conjunction,6,51,0.0199,256824
SG_Total,28,Opposition,6,15,0.0058,256824
SG_Total,28,Conjunction,7,0,0.0,256824
SG_Total,28,Opposition,7,0,0.0,256824
SG_Total,29,Conjunction,0,78259,30.4718,256824
SG_Total,29,Opposition,0,77695,30.2522,256824
SG_Total,29,Conjunction,1,98413,38.3192,256824
SG_Total,29,Opposition,1,97383,37.9182,256824
SG_Total,29,Conjunction,2,54817,21.3442,256824
SG_Total,29,Opposition,2,57271,22.2997,256824
SG_Total,29,Conjunction,3,20332,7.9167,256824
SG_Total,29,Opposition,3,19812,7.7142,256824
SG_Total,29,Conjunction,4,4353,1.6949,256824
SG_Total,29,Opposition,4,4194,1.633,256824
SG_Total,29,Conjunction,5,590,0.2297,256824
SG_Total,29,Opposition,5,448,0.1744,256824
SG_Total,29,Conjunction,6,60,0.0234,256824
SG_Total,29,Opposition,6,21,0.0082,256824
SG_Total,29,Conjunction,7,0,0.0,256824
SG_Total,29,Opposition,7,0,0.0,256824
SG_Total,30,Conjunction,0,74884,29.1577,256824
SG_Total,30,Opposition,0,74397,28.9681,256824
SG_Total,30,Conjunction,1,97914,38.1249,256824
SG_Total,30,Opposition,1,96685,37.6464,256824
SG_Total,30,Conjunction,2,56586,22.033,256824
SG_Total,30,Opposition,2,59186,23.0454,256824
SG_Total,30,Conjunction,3,21754,8.4704,256824
SG_Total,30,Opposition,3,21320,8.3014,256824
